Order_ID,Order_Date,Customer_ID,Product_ID,Channel_ID,Supplier_ID,Quantity,Unit_Selling_Price,Unit_Cost_Price,Discount_Pct,Shipping_Fee,Delivery_Days,Order_Status,Customer_Rating
ORD-2026-00001,2026-01-01,CUST-0149,PROD-108,CH-06,SUP-50,1,400,220,0.05,40.0,4,Delivered,5.0
ORD-2026-00002,2026-01-01,CUST-0210,PROD-109,CH-03,SUP-40,1,199,110,0.0,15.0,0,Delivered,5.0
ORD-2026-00003,2026-01-01,CUST-1130,PROD-109,CH-02,SUP-40,3,199,110,0.05,0.0,4,Delivered,5.0
ORD-2026-00004,2026-01-01,CUST-2273,PROD-106,CH-02,SUP-20,1,246,130,0.0,40.0,1,Delivered,3.0
ORD-2026-00005,2026-01-01,CUST-1483,PROD-101,CH-04,SUP-10,1,324,180,0.0,15.0,0,Delivered,5.0
ORD-2026-00006,2026-01-01,CUST-1622,PROD-110,CH-04,SUP-40,1,360,190,0.0,15.0,0,Delivered,3.0
ORD-2026-00007,2026-01-01,CUST-2315,PROD-110,CH-02,SUP-40,1,360,190,0.1,40.0,4,Cancelled,
ORD-2026-00008,2026-01-01,CUST-0683,PROD-103,CH-05,SUP-20,1,199,110,0.1,15.0,0,Delivered,5.0
ORD-2026-00009,2026-01-01,CUST-1994,PROD-101,CH-01,SUP-10,2,324,180,0.0,0.0,4,Cancelled,
ORD-2026-00010,2026-01-01,CUST-1124,PROD-110,CH-04,SUP-40,1,360,190,0.15,15.0,0,Delivered,5.0
ORD-2026-00011,2026-01-01,CUST-1736,PROD-107,CH-01,SUP-50,2,225,125,0.0,40.0,4,Delivered,5.0
ORD-2026-00012,2026-01-01,CUST-1775,PROD-111,CH-03,SUP-30,1,360,200,0.1,15.0,0,Delivered,5.0
ORD-2026-00013,2026-01-01,CUST-1703,PROD-106,CH-06,SUP-20,1,246,130,0.05,40.0,4,Cancelled,
ORD-2026-00014,2026-01-01,CUST-2221,PROD-111,CH-05,SUP-30,1,360,200,0.15,15.0,0,Delivered,5.0
ORD-2026-00015,2026-01-01,CUST-1880,PROD-109,CH-04,SUP-40,3,199,110,0.05,0.0,0,Delivered,4.0
ORD-2026-00016,2026-01-01,CUST-1694,PROD-109,CH-03,SUP-40,1,199,110,0.05,15.0,0,Delivered,5.0
ORD-2026-00017,2026-01-01,CUST-0599,PROD-103,CH-03,SUP-20,1,199,110,0.0,15.0,0,Delivered,5.0
ORD-2026-00018,2026-01-01,CUST-1419,PROD-106,CH-01,SUP-20,1,246,130,0.05,40.0,2,Delivered,5.0
ORD-2026-00019,2026-01-01,CUST-1433,PROD-104,CH-06,SUP-20,2,299,160,0.15,0.0,3,Delivered,5.0
ORD-2026-00020,2026-01-01,CUST-0695,PROD-104,CH-01,SUP-20,1,299,160,0.05,40.0,1,Delivered,4.0
ORD-2026-00021,2026-01-01,CUST-1441,PROD-106,CH-02,SUP-20,2,246,130,0.1,40.0,4,Cancelled,
ORD-2026-00022,2026-01-01,CUST-2470,PROD-112,CH-03,SUP-30,1,280,150,0.05,15.0,0,Delivered,5.0
ORD-2026-00023,2026-01-01,CUST-0332,PROD-102,CH-02,SUP-10,2,350,210,0.0,0.0,2,Delivered,5.0
ORD-2026-00024,2026-01-01,CUST-0804,PROD-104,CH-04,SUP-20,1,299,160,0.1,15.0,0,Delivered,4.0
ORD-2026-00025,2026-01-01,CUST-1296,PROD-102,CH-05,SUP-10,4,350,210,0.05,0.0,0,Delivered,4.0
ORD-2026-00026,2026-01-01,CUST-2355,PROD-102,CH-03,SUP-10,1,350,210,0.0,15.0,0,Delivered,3.0
ORD-2026-00027,2026-01-01,CUST-1634,PROD-112,CH-04,SUP-30,1,280,150,0.1,15.0,0,Delivered,1.0
ORD-2026-00028,2026-01-01,CUST-0430,PROD-111,CH-03,SUP-30,2,360,200,0.0,0.0,0,Delivered,5.0
ORD-2026-00029,2026-01-01,CUST-2020,PROD-103,CH-03,SUP-20,1,199,110,0.0,15.0,0,Delivered,4.0
